timestamp,test-class,test-method,time,description,result
2021-09-05 18:18:14.339,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,5067,"[1] index=0, username=anonymous, name=John, surname=Doe",OK
2021-09-05 18:18:18.695,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3885,"[2] index=1, username=administrator, name=Administrator, surname=Acme.com",OK
2021-09-05 18:18:22.979,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3873,"[3] index=2, username=manager1, name=Jhon, surname=Lock",OK
2021-09-05 18:18:27.161,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3836,"[4] index=3, username=manager2, name=Pepe, surname=Lock",OK
2021-09-05 18:18:28.336,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listNegative,792,"listNegative()",OK
2021-09-05 18:18:45.329,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,6215,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-09-05 18:18:51.197,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5501,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-09-05 18:18:56.938,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5381,"[3] recordIndex=2, username=manager1, name=Jhon, surname=Lock, email=jhonlock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-09-05 18:19:02.765,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5482,"[4] recordIndex=3, username=manager2, name=Pepe, surname=Lock, email=pepelock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-09-05 18:19:03.56,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updateNegative,456,"updateNegative()",OK
2021-09-05 18:19:23.772,acme.testing.manager.userAccount.ManagerCreateUserAccountTest,managerAccountCreatePositive,8497,"managerAccountCreatePositive()",OK
2021-09-05 18:19:24.635,acme.testing.manager.userAccount.ManagerCreateUserAccountTest,managerAccountCreateNegative,472,"managerAccountCreateNegative()",OK
2021-09-05 18:19:39.627,acme.testing.anonymous.workplan.AnonymousWorkplanListTest,listPositive,2530,"[1] index=0, title=Important tasks, executionStart=2020/02/12 08:00, executionEnd=2022/06/22 20:00, workload=93.10, isPublic=true",OK
2021-09-05 18:19:42.598,acme.testing.anonymous.workplan.AnonymousWorkplanListTest,listPositive,2577,"[2] index=1, title=Prueba 1, executionStart=2021/02/12 08:00, executionEnd=2022/05/15 17:00, workload=20.50, isPublic=true",OK
2021-09-05 18:19:44.903,acme.testing.anonymous.workplan.AnonymousWorkplanListTest,listPositive,1944,"[3] index=2, title=Prueba 3, executionStart=2021/02/12 08:00, executionEnd=2022/05/15 17:00, workload=20.50, isPublic=true",OK
2021-09-05 18:19:46.057,acme.testing.anonymous.workplan.AnonymousWorkplanListTest,listPositiveNoWorkplanPrivate,834,"[1] index=0, title=Repository tasks, executionStart=2018/02/12 08:00, executionEnd=2022/08/31 11:12, workload=63.10, isPublic=false",OK
2021-09-05 18:19:49.139,acme.testing.anonymous.workplan.AnonymousWorkplanListTest,listNegative,2756,"listNegative()",OK
2021-09-05 18:20:02.724,acme.testing.anonymous.workplan.AnonymousWorkplanShowTest,showPositive,1514,"[1] index=61, title=Important tasks, executionStart=2020/02/12 08:00, executionEnd=2022/06/22 20:00, workload=93.10, description=Must-do before start others!, isPublic=true, tasks=Create TaskController;Create TaskService;Create TaskView",OK
2021-09-05 18:20:03.585,acme.testing.anonymous.workplan.AnonymousWorkplanShowTest,showNegative,500,"showNegative()",OK
2021-09-05 18:20:20.997,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showPositive,5429,"[1] index=0, id=44, word=sex",OK
2021-09-05 18:20:26.088,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showPositive,4722,"[2] index=1, id=45, word=sexo",OK
2021-09-05 18:20:31.156,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showPositive,4714,"[3] index=10, id=54, word=millón de dolares",OK
2021-09-05 18:20:31.932,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showNegative,431,"[1] index=0, id=44, word=sex",OK
2021-09-05 18:20:32.778,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showNegative,373,"[2] index=1, id=45, word=sexo",OK
2021-09-05 18:20:33.518,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showNegative,397,"[3] index=10, id=54, word=millón de dolares",OK
2021-09-05 18:20:53.627,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updatePositive,7932,"[1] recordIndex=0, threshold=0.0",OK
2021-09-05 18:21:01.23,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updatePositive,7251,"[2] recordIndex=0, threshold=10.0",OK
2021-09-05 18:21:08.296,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updatePositive,6721,"[3] recordIndex=0, threshold=100.0",OK
2021-09-05 18:21:14.523,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updateNegative,5899,"[1] recordIndex=0, threshold=null",OK
2021-09-05 18:21:20.725,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updateNegative,5847,"[2] recordIndex=1, threshold=-12",OK
2021-09-05 18:21:26.952,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updateNegative,5883,"[3] recordIndex=2, threshold=120",OK
2021-09-05 18:21:53.142,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createPositive,14470,"[1] recordIndex=11, word=melocoton",OK
2021-09-05 18:22:06.003,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createPositive,12537,"[2] recordIndex=12, word=sandia",OK
2021-09-05 18:22:18.837,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createPositive,12492,"[3] recordIndex=13, word=caballo",OK
2021-09-05 18:22:24.227,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createDuplicatedNegative,5048,"[1] recordIndex=0, word=sex",OK
2021-09-05 18:22:29.813,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createBlankNegative,5264,"createBlankNegative()",OK
2021-09-05 18:22:48.197,acme.testing.administrator.spamPanel.AdministratorBlackListDeleteTest,deletePositive,6461,"[1] word=sex",OK
