timestamp,test-class,test-method,time,description,result
2021-09-04 19:35:36.717,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,4041,"[1] index=0, username=anonymous, name=John, surname=Doe",OK
2021-09-04 19:35:40.873,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3822,"[2] index=1, username=administrator, name=Administrator, surname=Acme.com",OK
2021-09-04 19:35:44.991,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3786,"[3] index=2, username=manager1, name=Jhon, surname=Lock",OK
2021-09-04 19:35:49.121,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3798,"[4] index=3, username=manager2, name=Pepe, surname=Lock",OK
2021-09-04 19:35:49.876,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listNegative,402,"listNegative()",OK
2021-09-04 19:36:07.085,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5373,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-09-04 19:36:12.809,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5413,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-09-04 19:36:18.494,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5371,"[3] recordIndex=2, username=manager1, name=Jhon, surname=Lock, email=jhonlock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-09-04 19:36:24.176,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5369,"[4] recordIndex=3, username=manager2, name=Pepe, surname=Lock, email=pepelock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-09-04 19:36:24.859,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updateNegative,386,"updateNegative()",OK
2021-09-04 19:36:42.538,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updatePositive,6516,"[1] recordIndex=0, password=manag3r, confirmation=manag3r, name=John, surname=García, email=john@us.es",OK
2021-09-04 19:36:49.366,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updatePositive,6498,"[2] recordIndex=1, password=manag3r, confirmation=manag3r, name=Manuel Ramón, surname=Benítez López, email=juan@engineer.com",OK
2021-09-04 19:36:54.038,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updateNegative,4364,"[1] recordIndex=0, password=null, confirmation=null, name=null, surname=null, email=null",OK
