timestamp,test-class,test-method,time,description,result
2021-09-05 12:42:28.169,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,5962,"[1] index=0, username=anonymous, name=John, surname=Doe",OK
2021-09-05 12:42:32.961,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,4241,"[2] index=1, username=administrator, name=Administrator, surname=Acme.com",OK
2021-09-05 12:42:38.743,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,5304,"[3] index=2, username=manager1, name=Jhon, surname=Lock",OK
2021-09-05 12:42:43.678,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,4124,"[4] index=3, username=manager2, name=Pepe, surname=Lock",OK
2021-09-05 12:42:45.572,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listNegative,1374,"listNegative()",OK
2021-09-05 12:43:18.364,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,8245,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-09-05 12:43:25.556,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,6334,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-09-05 12:43:33.528,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,6945,"[3] recordIndex=2, username=manager1, name=Jhon, surname=Lock, email=jhonlock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-09-05 12:43:43.772,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,9474,"[4] recordIndex=3, username=manager2, name=Pepe, surname=Lock, email=pepelock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-09-05 12:43:44.754,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updateNegative,581,"updateNegative()",OK
2021-09-05 12:44:21.639,acme.testing.manager.userAccount.ManagerCreateUserAccountTest,managerAccountCreatePositive,11421,"managerAccountCreatePositive()",OK
2021-09-05 12:44:23.002,acme.testing.manager.userAccount.ManagerCreateUserAccountTest,managerAccountCreateNegative,792,"managerAccountCreateNegative()",OK
2021-09-05 12:44:43.046,acme.testing.anonymous.workplan.AnonymousWorkplanListTest,listPositive,2903,"[1] index=0, title=Important tasks, executionStart=2020/02/12 08:00, executionEnd=2022/06/22 20:00, workload=93.10, isPublic=true",OK
2021-09-05 12:44:46.331,acme.testing.anonymous.workplan.AnonymousWorkplanListTest,listPositive,2696,"[2] index=1, title=Prueba 1, executionStart=2021/02/12 08:00, executionEnd=2022/05/15 17:00, workload=20.50, isPublic=true",OK
2021-09-05 12:44:50.074,acme.testing.anonymous.workplan.AnonymousWorkplanListTest,listPositive,3131,"[3] index=2, title=Prueba 3, executionStart=2021/02/12 08:00, executionEnd=2022/05/15 17:00, workload=20.50, isPublic=true",OK
2021-09-05 12:44:51.534,acme.testing.anonymous.workplan.AnonymousWorkplanListTest,listPositiveNoWorkplanPrivate,1036,"[1] index=0, title=Repository tasks, executionStart=2018/02/12 08:00, executionEnd=2022/08/31 11:12, workload=63.10, isPublic=false",OK
2021-09-05 12:44:57.283,acme.testing.anonymous.workplan.AnonymousWorkplanListTest,listNegative,5264,"listNegative()",OK
2021-09-05 12:45:21.886,acme.testing.anonymous.workplan.AnonymousWorkplanShowTest,showPositive,5512,"[1] index=61, title=Important tasks, executionStart=2020/02/12 08:00, executionEnd=2022/06/22 20:00, workload=93.10, description=Must-do before start others!, isPublic=true, tasks=Create TaskController;Create TaskService;Create TaskView",OK
2021-09-05 12:45:23.543,acme.testing.anonymous.workplan.AnonymousWorkplanShowTest,showNegative,1027,"showNegative()",OK
2021-09-05 12:45:51.364,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showPositive,7295,"[1] index=0, id=44, word=sex",OK
2021-09-05 12:45:56.929,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showPositive,4897,"[2] index=1, id=45, word=sexo",OK
2021-09-05 12:46:03.598,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showPositive,6253,"[3] index=10, id=54, word=millón de dolares",OK
2021-09-05 12:46:05.608,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showNegative,1092,"[1] index=0, id=44, word=sex",OK
2021-09-05 12:46:06.951,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showNegative,607,"[2] index=1, id=45, word=sexo",OK
2021-09-05 12:46:08.007,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showNegative,514,"[3] index=10, id=54, word=millón de dolares",OK
2021-09-05 12:46:41.43,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updatePositive,13494,"[1] recordIndex=0, threshold=0.0",OK
2021-09-05 12:46:52.104,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updatePositive,10003,"[2] recordIndex=0, threshold=10.0",OK
2021-09-05 12:47:04.667,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updatePositive,11829,"[3] recordIndex=0, threshold=100.0",OK
2021-09-05 12:47:11.605,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updateNegative,6378,"[1] recordIndex=0, threshold=null",OK
2021-09-05 12:47:18.914,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updateNegative,6437,"[2] recordIndex=1, threshold=-12",OK
2021-09-05 12:47:26.303,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updateNegative,6976,"[3] recordIndex=2, threshold=120",OK
2021-09-05 12:48:08.275,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createPositive,17673,"[1] recordIndex=11, word=melocoton",OK
2021-09-05 12:48:25.375,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createPositive,16678,"[2] recordIndex=12, word=sandia",OK
2021-09-05 12:48:44.347,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createPositive,18375,"[3] recordIndex=13, word=caballo",OK
2021-09-05 12:48:52.204,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createDuplicatedNegative,7218,"[1] recordIndex=0, word=sex",OK
2021-09-05 12:49:00.542,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createBlankNegative,7686,"createBlankNegative()",OK
2021-09-05 12:49:27.904,acme.testing.administrator.spamPanel.AdministratorBlackListDeleteTest,deletePositive,7699,"[1] word=sex",OK
2021-09-05 12:49:28.861,acme.testing.administrator.spamPanel.AdministratorBlackListDeleteTest,deleteNegative,566,"deleteNegative()",OK
2021-09-05 12:49:56.375,acme.testing.administrator.spamPanel.AdministratorThresholdShowTest,showPositive,5742,"[1] index=0, threshold=10.0",OK
2021-09-05 12:49:57.416,acme.testing.administrator.spamPanel.AdministratorThresholdShowTest,showNegative,587,"showNegative()",OK
2021-09-05 12:50:32.984,acme.testing.administrator.spamPanel.AdministratorBlackListUpdateTest,updatePositive,10849,"[1] recordIndex=0, word=se",OK
2021-09-05 12:50:40.601,acme.testing.administrator.spamPanel.AdministratorBlackListUpdateTest,updateNegative,6946,"[1] recordIndex=0, word=null",OK
2021-09-05 12:50:46.387,acme.testing.administrator.spamPanel.AdministratorBlackListUpdateTest,updateNegative,5256,"[2] recordIndex=1, word=sexo",OK
2021-09-05 12:51:17.842,acme.testing.administrator.spamPanel.AdministratorBlackListListTest,listPositive,4648,"[1] index=0, word=sex",OK
2021-09-05 12:51:23.793,acme.testing.administrator.spamPanel.AdministratorBlackListListTest,listPositive,5170,"[2] index=1, word=sexo",OK
2021-09-05 12:51:30.542,acme.testing.administrator.spamPanel.AdministratorBlackListListTest,listPositive,6226,"[3] index=10, word=millón de dolares",OK
2021-09-05 12:51:32.143,acme.testing.administrator.spamPanel.AdministratorBlackListListTest,listNegative,844,"listNegative()",OK
2021-09-05 12:52:00.163,acme.testing.administrator.spamPanel.AdministratorThresholdListTest,listPositive,8176,"[1] index=0, threshold=10.0",OK
2021-09-05 12:52:07.346,acme.testing.administrator.spamPanel.AdministratorThresholdListTest,listNegative,6385,"listNegative()",OK
2021-09-05 12:52:32.907,acme.testing.manager.workplan.ManagerWorkplanListTest,listPositive,6525,"[1] index=0, title=Important tasks, executionStart=2020/02/12 08:00, executionEnd=2022/06/22 20:00, workload=93.10, isPublic=true",OK
2021-09-05 12:52:38.483,acme.testing.manager.workplan.ManagerWorkplanListTest,listPositive,5134,"[2] index=1, title=Students plan, executionStart=2017/08/12 08:00, executionEnd=2021/06/16 17:00, workload=113.10, isPublic=false",OK
2021-09-05 12:52:44.048,acme.testing.manager.workplan.ManagerWorkplanListTest,listPositive,5077,"[3] index=2, title=Empty plan, executionStart=2017/08/12 08:00, executionEnd=2021/05/15 17:00, workload=0.00, isPublic=false",OK
2021-09-05 12:52:49.215,acme.testing.manager.workplan.ManagerWorkplanListTest,listPositiveNoWorkplanPrivate,4656,"[1] index=0, title=Webapp tasks, executionStart=2019/02/12 08:00, executionEnd=2022/06/22 20:00, workload=65.00, isPublic=false",OK
2021-09-05 12:52:50.629,acme.testing.manager.workplan.ManagerWorkplanListTest,listNegative,715,"listNegative()",OK
2021-09-05 12:53:31.704,acme.testing.manager.workplan.ManagerWorkplanDeleteTest,deletePositive,20595,"deletePositive()",OK
2021-09-05 12:53:36.988,acme.testing.manager.workplan.ManagerWorkplanDeleteTest,deleteNegative,4437,"deleteNegative()",OK
2021-09-05 12:54:02.728,acme.testing.manager.workplan.ManagerWorkplanShowTest,showPositive,5510,"[1] index=61, title=Important tasks, executionStart=2020/02/12 08:00, executionEnd=2022/06/22 20:00, workload=93.10, description=Must-do before start others!, isPublic=true, tasks=Create TaskController;Create TaskService;Create TaskView",OK
2021-09-05 12:54:06.829,acme.testing.manager.workplan.ManagerWorkplanShowTest,showNegative,3689,"showNegative()",OK
