timestamp,test-class,test-method,time,description,result
2021-09-04 16:24:15.194,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,5359,"[1] index=0, username=anonymous, name=John, surname=Doe",OK
2021-09-04 16:24:19.488,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3882,"[2] index=1, username=administrator, name=Administrator, surname=Acme.com",OK
2021-09-04 16:24:23.733,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3862,"[3] index=2, username=manager1, name=Jhon, surname=Lock",OK
2021-09-04 16:24:27.961,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3864,"[4] index=3, username=manager2, name=Pepe, surname=Lock",OK
2021-09-04 16:24:29.125,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listNegative,815,"listNegative()",OK
2021-09-04 16:24:47.773,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,6258,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-09-04 16:24:53.685,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5523,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-09-04 16:24:59.516,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5439,"[3] recordIndex=2, username=manager1, name=Jhon, surname=Lock, email=jhonlock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-09-04 16:25:05.299,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5453,"[4] recordIndex=3, username=manager2, name=Pepe, surname=Lock, email=pepelock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-09-04 16:25:06.079,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updateNegative,450,"updateNegative()",OK
2021-09-04 16:25:26.203,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updatePositive,8185,"[1] recordIndex=0, password=manag3r, confirmation=manag3r, name=John, surname=García, email=john@us.es",OK
