timestamp,test-class,test-method,time,description,result
2021-09-04 19:10:29.454,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,5812,"[1] index=0, username=anonymous, name=John, surname=Doe",OK
2021-09-04 19:10:34.118,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,4176,"[2] index=1, username=administrator, name=Administrator, surname=Acme.com",OK
2021-09-04 19:10:39.011,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,4469,"[3] index=2, username=manager1, name=Jhon, surname=Lock",OK
2021-09-04 19:10:43.402,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3995,"[4] index=3, username=manager2, name=Pepe, surname=Lock",OK
2021-09-04 19:10:44.539,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listNegative,776,"listNegative()",OK
2021-09-04 19:11:03.663,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,6305,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-09-04 19:11:09.517,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5483,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-09-04 19:11:15.388,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5465,"[3] recordIndex=2, username=manager1, name=Jhon, surname=Lock, email=jhonlock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-09-04 19:11:21.176,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5428,"[4] recordIndex=3, username=manager2, name=Pepe, surname=Lock, email=pepelock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-09-04 19:11:22.032,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updateNegative,484,"updateNegative()",OK
2021-09-04 19:11:41.555,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updatePositive,7663,"[1] recordIndex=0, password=manag3r, confirmation=manag3r, name=John, surname=García, email=john@us.es",OK
2021-09-04 19:11:48.971,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updatePositive,7026,"[2] recordIndex=1, password=manag3r, confirmation=manag3r, name=Manuel Ramón, surname=Benítez López, email=juan@engineer.com",OK
2021-09-04 19:11:53.78,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updateNegative,4468,"[1] recordIndex=0, password=null, confirmation=null, name=null, surname=null, email=null",OK
2021-09-04 19:11:58.567,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updateNegative,4458,"[2] recordIndex=1, password=manag3r, confirmation=manag4r, name=sex, surname=García, email=johnus.es",OK
2021-09-04 19:12:18.181,acme.testing.manager.userAccount.ManagerCreateUserAccountTest,managerAccountCreatePositive,7163,"managerAccountCreatePositive()",OK
